Date,PlayerID,AccelImpulse
2017-11-30,2,5.9583381
2017-11-30,3,5.952385714
2017-11-30,4,5.921301033
2017-11-30,6,5.939819567
2017-11-30,7,5.785718914
2017-11-30,8,5.948417457
2017-11-30,9,5.7500046
2017-11-30,10,5.921301033
2017-11-30,11,5.8888936
2017-11-30,12,5.967597367
2017-11-30,13,5.968258743
2017-11-30,17,5.8888936
2017-12-01,2,5.717597167
2017-12-01,3,5.91111584
2017-12-01,4,5.90000472
2017-12-01,6,5.86806025
2017-12-01,7,5.9583381
2017-12-01,8,5.842597267
2017-12-01,9,5.9305603
2017-12-01,10,5.972227
2017-12-01,11,5.851856533
2017-12-01,12,5.9583381
2017-12-01,13,5.953708467
2017-12-01,14,5.96111588
2017-12-01,15,5.9027825
2017-12-01,16,5.972227
2017-12-01,17,5.91111584
2017-12-01,18,5.953708467
2017-12-01,19,5.9027825
2017-12-01,20,5.9583381
2017-12-01,21,5.9583381
2018-01-26,2,5.967597367
2018-01-26,3,5.968754775
2018-01-26,4,5.953708467
2018-01-26,7,5.953708467
2018-01-26,8,5.964290486
2018-01-26,9,5.6666712
2018-01-26,10,5.9444492
2018-01-26,11,5.953708467
2018-01-26,12,5.960322229
2018-01-26,13,5.865745433
2018-01-26,14,5.873020571
2018-01-26,21,5.5000044
2018-01-27,1,5.972227
2018-01-27,2,5.96111588
2018-01-27,3,5.768523133
2018-01-27,4,5.870375067
2018-01-27,5,5.694449
2018-01-27,7,5.95139365
2018-01-27,8,5.8611158
2018-01-27,9,5.9583381
2018-01-27,10,5.92778252
2018-01-27,11,5.972227
2018-01-27,12,5.972227
2018-01-27,13,5.89583805
2018-01-27,14,5.9027825
2018-01-27,16,5.731486067
2018-01-28,1,5.9305603
2018-01-28,2,5.8194491
2018-01-28,3,5.972227
2018-01-28,4,5.953708467
2018-01-28,5,5.5277822
2018-01-28,7,5.953708467
2018-01-28,8,5.9305603
2018-01-28,10,5.972227
2018-01-28,11,5.9583381
2018-01-28,12,5.8472269
2018-01-28,13,5.6805601
2018-01-28,16,5.9166714
2018-04-13,1,5.9305603
2018-04-13,2,5.91111584
2018-04-13,3,5.9444492
2018-04-13,4,5.9583381
2018-04-13,5,5.92361585
2018-04-13,7,5.85417135
2018-04-13,8,5.9583381
2018-04-13,10,5.9583381
2018-04-13,11,5.9027825
2018-04-13,12,5.96528255
2018-04-13,13,5.93750475
2018-04-13,16,5.91111584
2018-04-14,1,5.8611158
2018-04-14,2,5.9305603
2018-04-14,3,5.972227
2018-04-14,4,5.9583381
2018-04-14,5,5.9305603
2018-04-14,8,5.972227
2018-04-14,10,5.9583381
2018-04-14,11,5.8888936
2018-04-14,12,5.8888936
2018-04-14,13,5.9027825
2018-04-14,14,5.972227
2018-04-14,16,5.9444492
2018-04-15,1,5.939819567
2018-04-15,2,5.96528255
2018-04-15,3,5.972227
2018-04-15,4,5.96667144
2018-04-15,5,5.61667116
2018-04-15,8,5.972227
2018-04-15,10,5.95139365
2018-04-15,11,5.972227
2018-04-15,12,5.879634333
2018-04-15,13,5.96667144
2018-04-15,14,5.84028245
2018-04-15,16,5.96111588
2018-04-21,1,5.967597367
2018-04-21,2,5.972227
2018-04-21,4,5.972227
2018-04-21,5,5.828708367
2018-04-21,7,5.96667144
2018-04-21,8,5.967597367
2018-04-21,10,5.972227
2018-04-21,11,5.9444492
2018-04-21,12,5.95139365
2018-04-21,13,5.800930567
2018-04-21,14,5.9305603
2018-04-21,15,5.90972695
2018-04-21,16,5.967597367
2018-04-22,1,5.96528255
2018-04-22,2,5.96528255
2018-04-22,4,5.96528255
2018-04-22,5,5.96111588
2018-04-22,7,5.95556032
2018-04-22,8,5.9583381
2018-04-22,10,5.9305603
2018-04-22,11,5.95556032
2018-04-22,12,5.95000476
2018-04-22,13,5.972227
2018-04-22,15,5.9305603
2018-04-22,16,5.85417135
2018-05-12,1,5.967597367
2018-05-12,2,5.9583381
2018-05-12,4,5.972227
2018-05-12,5,5.8194491
2018-05-12,7,5.964290486
2018-05-12,8,5.953708467
2018-05-12,10,5.972227
2018-05-12,11,5.9444492
2018-05-12,12,5.938276356
2018-05-12,13,5.972227
2018-05-12,15,5.936512686
2018-05-12,16,5.9583381
2018-05-13,1,5.967597367
2018-05-13,2,5.9583381
2018-05-13,4,5.967597367
2018-05-13,5,5.956353971
2018-05-13,7,5.956353943
2018-05-13,8,5.944449133
2018-05-13,10,5.9305603
2018-05-13,11,5.960322229
2018-05-13,12,5.93750475
2018-05-13,13,5.972227
2018-05-13,15,5.948417457
2018-05-13,16,5.8842639
2018-06-08,1,5.962967733
2018-06-08,2,5.962967733
2018-06-08,3,5.956353971
2018-06-08,4,5.972227
2018-06-08,5,5.961810325
2018-06-08,7,5.879634333
2018-06-08,8,5.940480943
2018-06-08,11,5.956353971
2018-06-08,13,5.924607914
2018-06-08,14,5.928576171
2018-06-08,15,5.8194491
2018-06-08,16,5.924607914
2018-06-09,1,5.9583381
2018-06-09,2,5.9166714
2018-06-09,3,5.9583381
2018-06-09,4,5.972227
2018-06-09,5,5.9583381
2018-06-09,7,5.96111588
2018-06-09,8,5.972227
2018-06-09,11,5.96528255
2018-06-09,13,5.956353971
2018-06-09,14,5.8611158
2018-06-09,15,5.9305603
2018-06-09,16,5.93750475
2018-06-10,1,5.972227
2018-06-10,2,5.9583381
2018-06-10,3,5.972227
2018-06-10,4,5.972227
2018-06-10,5,5.9583381
2018-06-10,7,5.9583381
2018-06-10,8,5.907412133
2018-06-10,11,5.972227
2018-06-10,13,5.972227
2018-06-10,15,5.9166714
2018-07-20,1,5.93889364
2018-07-20,2,5.9305603
2018-07-20,3,5.8611158
2018-07-20,4,5.96528255
2018-07-20,5,5.95139365
2018-07-20,7,5.93333808
2018-07-20,10,5.92778252
2018-07-20,11,5.96528255
2018-07-20,13,5.96111588
2018-07-20,14,5.90556028
2018-07-20,15,5.8888936
2018-07-20,16,5.972227
2018-07-21,1,5.972227
2018-07-21,2,5.90972695
2018-07-21,3,5.972227
2018-07-21,4,5.9583381
2018-07-21,5,5.7638935
2018-07-21,7,5.972227
2018-07-21,10,5.90972695
2018-07-21,11,5.972227
2018-07-21,13,5.9166714
2018-07-21,14,5.89583805
2018-07-21,15,5.8888936
2018-07-21,16,5.82639355